Load,Bus,BusPhase,kVbase,kWmax,Transformer
OH_264880_1_1,DEV_264881_1338,DEV_264881_1338-1,0.24,1.235073591,OH_264880_1
OH_264880_1_2,DEV_264881_1333,DEV_264881_1333-1,0.24,1.235073591,OH_264880_1
OH_264880_1_3,DEV_264881_1327,DEV_264881_1327-1,0.24,1.235073591,OH_264880_1
OH_264880_1_4,DEV_264881_1332,DEV_264881_1332-1,0.24,1.235073591,OH_264880_1
OH_264880_1_5,DEV_264881_1326,DEV_264881_1326-1,0.24,1.235073591,OH_264880_1
OH_264880_1_6,DEV_264881_1320,DEV_264881_1320-1,0.24,1.235073591,OH_264880_1
OH_264880_1_7,DEV_264881_1321,DEV_264881_1321-1,0.24,1.235073591,OH_264880_1
OH_264880_1_8,DEV_264881_1315,DEV_264881_1315-1,0.24,1.235073591,OH_264880_1
OH_264880_1_9,DEV_264881_1312,DEV_264881_1312-1,0.24,1.235073591,OH_264880_1
OH_264880_1_10,DEV_264881_0_P17,DEV_264881_0_P17-1,0.24,1.235073591,OH_264880_1
OH_264880_1_11,DEV_264881_1_P17,DEV_264881_1_P17-1,0.24,1.235073591,OH_264880_1
OH_264880_1_12,DEV_264881_2_P17,DEV_264881_2_P17-1,0.24,1.235073591,OH_264880_1
OH_264880_1_13,DEV_264881_3_P17,DEV_264881_3_P17-1,0.24,1.235073591,OH_264880_1
OH_264880_1_14,DEV_264881_4_P17,DEV_264881_4_P17-1,0.24,1.235073591,OH_264880_1
OH_264880_1_15,DEV_264881_5_P17,DEV_264881_5_P17-1,0.24,1.235073591,OH_264880_1
OH_264880_1_16,DEV_264881_6_P17,DEV_264881_6_P17-1,0.24,1.235073591,OH_264880_1
OH_264880_1_17,DEV_264881_7_P17,DEV_264881_7_P17-1,0.24,1.235073591,OH_264880_1
OH_264880_1_18,DEV_264881_8_P17,DEV_264881_8_P17-1,0.24,1.235073591,OH_264880_1
OH_264880_1_19,DEV_264881_9_P17,DEV_264881_9_P17-1,0.24,1.235073591,OH_264880_1
OH_264880_1_20,DEV_264881_10_P17,DEV_264881_10_P17-1,0.24,1.235073591,OH_264880_1
OH_264880_1_21,DEV_264881_11_P17,DEV_264881_11_P17-1,0.24,1.235073591,OH_264880_1
OH_264880_1_22,DEV_264881_12_P17,DEV_264881_12_P17-1,0.24,1.235073591,OH_264880_1
OH_264883_1_1,DEV_264884_433,DEV_264884_433-1,0.24,1.430085231,OH_264883_1
OH_264883_1_2,DEV_264884_425,DEV_264884_425-1,0.24,1.430085231,OH_264883_1
OH_264883_1_3,DEV_264884_424,DEV_264884_424-1,0.24,1.430085231,OH_264883_1
OH_264883_1_4,DEV_264884_419,DEV_264884_419-1,0.24,1.430085231,OH_264883_1
OH_264883_1_5,DEV_264884_411,DEV_264884_411-1,0.24,1.430085231,OH_264883_1
OH_264883_1_6,DEV_264884_418,DEV_264884_418-1,0.24,1.430085231,OH_264883_1
OH_264883_1_7,DEV_264884_352,DEV_264884_352-1,0.24,1.430085231,OH_264883_1
OH_264883_1_8,DEV_264884_406,DEV_264884_406-1,0.24,1.430085231,OH_264883_1
OH_264883_1_9,DEV_264884_439,DEV_264884_439-1,0.24,1.430085231,OH_264883_1
OH_264883_1_10,DEV_264884_440,DEV_264884_440-1,0.24,1.430085231,OH_264883_1
OH_264883_1_11,DEV_264884_460,DEV_264884_460-1,0.24,1.430085231,OH_264883_1
OH_264883_1_12,DEV_264884_441,DEV_264884_441-1,0.24,1.430085231,OH_264883_1
OH_264883_1_13,DEV_264884_462,DEV_264884_462-1,0.24,1.430085231,OH_264883_1
OH_264887_1_1,DEV_264888_775,DEV_264888_775-1,0.24,1.8591108,OH_264887_1
OH_264887_1_2,DEV_264888_780,DEV_264888_780-1,0.24,1.8591108,OH_264887_1
OH_264887_1_3,DEV_264888_783,DEV_264888_783-1,0.24,1.8591108,OH_264887_1
OH_264887_1_4,DEV_264888_788,DEV_264888_788-1,0.24,1.8591108,OH_264887_1
OH_264887_1_5,DEV_264888_790,DEV_264888_790-1,0.24,1.8591108,OH_264887_1
OH_264887_1_6,DEV_264888_793,DEV_264888_793-1,0.24,1.8591108,OH_264887_1
OH_264887_1_7,DEV_264888_796,DEV_264888_796-1,0.24,1.8591108,OH_264887_1
OH_264887_1_8,DEV_264888_797,DEV_264888_797-1,0.24,1.8591108,OH_264887_1
OH_264887_1_9,DEV_264888_770,DEV_264888_770-1,0.24,1.8591108,OH_264887_1
OH_264887_1_10,DEV_264888_769,DEV_264888_769-1,0.24,1.8591108,OH_264887_1
OH_264889_1_1,DEV_264891_433,DEV_264891_433-1,0.24,2.114570462,OH_264889_1
OH_264889_1_2,DEV_264891_425,DEV_264891_425-1,0.24,2.114570462,OH_264889_1
OH_264889_1_3,DEV_264891_424,DEV_264891_424-1,0.24,2.114570462,OH_264889_1
OH_264889_1_4,DEV_264891_419,DEV_264891_419-1,0.24,2.114570462,OH_264889_1
OH_264889_1_5,DEV_264891_411,DEV_264891_411-1,0.24,2.114570462,OH_264889_1
OH_264889_1_6,DEV_264891_418,DEV_264891_418-1,0.24,2.114570462,OH_264889_1
OH_264889_1_7,DEV_264891_352,DEV_264891_352-1,0.24,2.114570462,OH_264889_1
OH_264889_1_8,DEV_264891_406,DEV_264891_406-1,0.24,2.114570462,OH_264889_1
OH_264889_1_9,DEV_264891_439,DEV_264891_439-1,0.24,2.114570462,OH_264889_1
OH_264889_1_10,DEV_264891_440,DEV_264891_440-1,0.24,2.114570462,OH_264889_1
OH_264889_1_11,DEV_264891_460,DEV_264891_460-1,0.24,2.114570462,OH_264889_1
OH_264889_1_12,DEV_264891_441,DEV_264891_441-1,0.24,2.114570462,OH_264889_1
OH_264889_1_13,DEV_264891_462,DEV_264891_462-1,0.24,2.114570462,OH_264889_1
OH_264893_1_1,DEV_264894_775,DEV_264894_775-1,0.24,1.5783904,OH_264893_1
OH_264893_1_2,DEV_264894_780,DEV_264894_780-1,0.24,1.5783904,OH_264893_1
OH_264893_1_3,DEV_264894_783,DEV_264894_783-1,0.24,1.5783904,OH_264893_1
OH_264893_1_4,DEV_264894_788,DEV_264894_788-1,0.24,1.5783904,OH_264893_1
OH_264893_1_5,DEV_264894_790,DEV_264894_790-1,0.24,1.5783904,OH_264893_1
OH_264893_1_6,DEV_264894_793,DEV_264894_793-1,0.24,1.5783904,OH_264893_1
OH_264893_1_7,DEV_264894_796,DEV_264894_796-1,0.24,1.5783904,OH_264893_1
OH_264893_1_8,DEV_264894_797,DEV_264894_797-1,0.24,1.5783904,OH_264893_1
OH_264893_1_9,DEV_264894_770,DEV_264894_770-1,0.24,1.5783904,OH_264893_1
OH_264893_1_10,DEV_264894_769,DEV_264894_769-1,0.24,1.5783904,OH_264893_1
OH_264898_1_1,DEV_264901_5833,DEV_264901_5833-1,0.24,2.05243725,OH_264898_1
OH_264898_1_2,DEV_264901_367,DEV_264901_367-1,0.24,2.05243725,OH_264898_1
OH_264898_1_3,DEV_264901_5815,DEV_264901_5815-1,0.24,2.05243725,OH_264898_1
OH_264898_1_4,DEV_264901_5808,DEV_264901_5808-1,0.24,2.05243725,OH_264898_1
OH_264903_1_1,DEV_264904_433,DEV_264904_433-1,0.24,1.112288538,OH_264903_1
OH_264903_1_2,DEV_264904_425,DEV_264904_425-1,0.24,1.112288538,OH_264903_1
OH_264903_1_3,DEV_264904_424,DEV_264904_424-1,0.24,1.112288538,OH_264903_1
OH_264903_1_4,DEV_264904_419,DEV_264904_419-1,0.24,1.112288538,OH_264903_1
OH_264903_1_5,DEV_264904_411,DEV_264904_411-1,0.24,1.112288538,OH_264903_1
OH_264903_1_6,DEV_264904_418,DEV_264904_418-1,0.24,1.112288538,OH_264903_1
OH_264903_1_7,DEV_264904_352,DEV_264904_352-1,0.24,1.112288538,OH_264903_1
OH_264903_1_8,DEV_264904_406,DEV_264904_406-1,0.24,1.112288538,OH_264903_1
OH_264903_1_9,DEV_264904_439,DEV_264904_439-1,0.24,1.112288538,OH_264903_1
OH_264903_1_10,DEV_264904_440,DEV_264904_440-1,0.24,1.112288538,OH_264903_1
OH_264903_1_11,DEV_264904_460,DEV_264904_460-1,0.24,1.112288538,OH_264903_1
OH_264903_1_12,DEV_264904_441,DEV_264904_441-1,0.24,1.112288538,OH_264903_1
OH_264903_1_13,DEV_264904_462,DEV_264904_462-1,0.24,1.112288538,OH_264903_1
OH_264913_1_1,DEV_264915_1338,DEV_264915_1338-1,0.24,1.2764835,OH_264913_1
OH_264913_1_2,DEV_264915_1333,DEV_264915_1333-1,0.24,1.2764835,OH_264913_1
OH_264913_1_3,DEV_264915_1327,DEV_264915_1327-1,0.24,1.2764835,OH_264913_1
OH_264913_1_4,DEV_264915_1332,DEV_264915_1332-1,0.24,1.2764835,OH_264913_1
OH_264913_1_5,DEV_264915_1326,DEV_264915_1326-1,0.24,1.2764835,OH_264913_1
OH_264913_1_6,DEV_264915_1320,DEV_264915_1320-1,0.24,1.2764835,OH_264913_1
OH_264913_1_7,DEV_264915_1321,DEV_264915_1321-1,0.24,1.2764835,OH_264913_1
OH_264913_1_8,DEV_264915_1315,DEV_264915_1315-1,0.24,1.2764835,OH_264913_1
OH_264913_1_9,DEV_264915_1312,DEV_264915_1312-1,0.24,1.2764835,OH_264913_1
OH_264913_1_10,DEV_264915_0_P17,DEV_264915_0_P17-1,0.24,1.2764835,OH_264913_1
OH_264913_1_11,DEV_264915_1_P17,DEV_264915_1_P17-1,0.24,1.2764835,OH_264913_1
OH_264913_1_12,DEV_264915_2_P17,DEV_264915_2_P17-1,0.24,1.2764835,OH_264913_1
OH_264913_1_13,DEV_264915_3_P17,DEV_264915_3_P17-1,0.24,1.2764835,OH_264913_1
OH_264913_1_14,DEV_264915_4_P17,DEV_264915_4_P17-1,0.24,1.2764835,OH_264913_1
OH_264913_1_15,DEV_264915_5_P17,DEV_264915_5_P17-1,0.24,1.2764835,OH_264913_1
OH_264913_1_16,DEV_264915_6_P17,DEV_264915_6_P17-1,0.24,1.2764835,OH_264913_1
OH_264913_1_17,DEV_264915_7_P17,DEV_264915_7_P17-1,0.24,1.2764835,OH_264913_1
OH_264913_1_18,DEV_264915_8_P17,DEV_264915_8_P17-1,0.24,1.2764835,OH_264913_1
OH_264913_1_19,DEV_264915_9_P17,DEV_264915_9_P17-1,0.24,1.2764835,OH_264913_1
OH_264913_1_20,DEV_264915_10_P17,DEV_264915_10_P17-1,0.24,1.2764835,OH_264913_1
OH_264919_1_1,DEV_264921_644,DEV_264921_644-1,0.24,2.042978857,OH_264919_1
OH_264919_1_2,DEV_264921_648,DEV_264921_648-1,0.24,2.042978857,OH_264919_1
OH_264919_1_3,DEV_264921_645,DEV_264921_645-1,0.24,2.042978857,OH_264919_1
OH_264919_1_4,DEV_264921_649,DEV_264921_649-1,0.24,2.042978857,OH_264919_1
OH_264919_1_5,DEV_264921_640,DEV_264921_640-1,0.24,2.042978857,OH_264919_1
OH_264919_1_6,DEV_264921_639,DEV_264921_639-1,0.24,2.042978857,OH_264919_1
OH_264919_1_7,DEV_264921_636,DEV_264921_636-1,0.24,2.042978857,OH_264919_1
OH_264922_1_1,DEV_264923_433,DEV_264923_433-1,0.24,1.059322417,OH_264922_1
OH_264922_1_2,DEV_264923_425,DEV_264923_425-1,0.24,1.059322417,OH_264922_1
OH_264922_1_3,DEV_264923_424,DEV_264923_424-1,0.24,1.059322417,OH_264922_1
OH_264922_1_4,DEV_264923_419,DEV_264923_419-1,0.24,1.059322417,OH_264922_1
OH_264922_1_5,DEV_264923_411,DEV_264923_411-1,0.24,1.059322417,OH_264922_1
OH_264922_1_6,DEV_264923_418,DEV_264923_418-1,0.24,1.059322417,OH_264922_1
OH_264922_1_7,DEV_264923_352,DEV_264923_352-1,0.24,1.059322417,OH_264922_1
OH_264922_1_8,DEV_264923_406,DEV_264923_406-1,0.24,1.059322417,OH_264922_1
OH_264922_1_9,DEV_264923_439,DEV_264923_439-1,0.24,1.059322417,OH_264922_1
OH_264922_1_10,DEV_264923_440,DEV_264923_440-1,0.24,1.059322417,OH_264922_1
