,bus1,bus2,linecode,length,phases,r1,x1,r0,x0,C1,C0,rmatrix,xmatrix,cmatrix,Switch,Rg,Xg,rho,geometry,units,spacing,wires,EarthModel,cncables,tscables,B1,B0,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Line.sw0,110.1,110_2.1,,0.01,1,1,1,1,1,1.1,1.1,['1'],['1'],['1.1'],True,0.01805,0.155081,100,,ft,,,Deri,,,0.4146902,0.4146902,400,600,0.1,20,3,60,True,
Line.sw1,111.1,111_2.1,,0.01,1,1,1,1,1,1.1,1.1,['1'],['1'],['1.1'],True,0.01805,0.155081,100,,ft,,,Deri,,,0.4146902,0.4146902,400,600,0.1,20,3,60,True,
Line.sw2,112.1,112_2.1,,0.01,1,1,1,1,1,1.1,1.1,['1'],['1'],['1.1'],True,0.01805,0.155081,100,,ft,,,Deri,,,0.4146902,0.4146902,400,600,0.1,20,3,60,True,
Line.sw3,113.1,113_2.1,,0.01,1,1,1,1,1,1.1,1.1,['1'],['1'],['1.1'],True,0.01805,0.155081,100,,ft,,,Deri,,,0.4146902,0.4146902,400,600,0.1,20,3,60,True,
Line.sl_1,tsf.1,t1.1,1/0,8,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_2,t1.1,1750.1,4,65,1,----,----,----,----,----,----,['0.00092917'],['0.00007856808'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,90,112.5,0.1,20,3,60,True,
Line.sl_3,t1.1,t2.1,1/0,23,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_4,t2.1,1751.1,4,33,1,----,----,----,----,----,----,['0.00092917'],['0.00007856808'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,90,112.5,0.1,20,3,60,True,
Line.sl_5,t2.1,t3.1,1/0,45,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_6,t3.1,1756.1,4,70,1,----,----,----,----,----,----,['0.00092917'],['0.00007856808'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,90,112.5,0.1,20,3,60,True,
Line.sl_7,t3.1,1755.1,4,38,1,----,----,----,----,----,----,['0.00092917'],['0.00007856808'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,90,112.5,0.1,20,3,60,True,
Line.sl_8,t3.1,t4.1,1/0,36,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_9,tsf.1,t5.1,1/0,24,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_10,t5.1,1747.1,4,33,1,----,----,----,----,----,----,['0.00092917'],['0.00007856808'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,90,112.5,0.1,20,3,60,True,
Line.sl_11,t5.1,t6.1,1/0,55,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_12,t6.1,1741.1,4,28,1,----,----,----,----,----,----,['0.00092917'],['0.00007856808'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,90,112.5,0.1,20,3,60,True,
Line.sl_13,t6.1,t7.1,1/0,37,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_14,t7.1,1737.1,4,33,1,----,----,----,----,----,----,['0.00092917'],['0.00007856808'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,90,112.5,0.1,20,3,60,True,
Line.sl_15,t7.1,p6.1,1/0,35,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_16,p6.1,t8.1,1/0,60,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_17,t8.1,103.1,4,50,1,----,----,----,----,----,----,['0.00092917'],['0.00007856808'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,90,112.5,0.1,20,3,60,True,
Line.sl_18,t8.1,t9.1,1/0,58,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_19,t9.1,109.1,4,48,1,----,----,----,----,----,----,['0.00092917'],['0.00007856808'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,90,112.5,0.1,20,3,60,True,
Line.sl_20,t9.1,t10.1,1/0,24,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_21,t10.1,110.1,4,48,1,----,----,----,----,----,----,['0.00092917'],['0.00007856808'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,90,112.5,0.1,20,3,60,True,
Line.sl_22,t10.1,t11.1,1/0,10,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_23,t11.1,112.1,1/0,70,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_24,t11.1,111.1,1/0,50,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_25,t11.1,p1.1,1/0,18,1,----,----,----,----,----,----,['0.0003674242'],['0.0000274'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,202,252.5,0.1,20,3,60,True,
Line.sl_26,p1.1,113.1,4,40,1,----,----,----,----,----,----,['0.00092917'],['0.00007856808'],['0.015'],False,0.01805,0.155081,100,,ft,,,Deri,,,----,----,90,112.5,0.1,20,3,60,True,
