,P_gross_watts,Q_var,P_pv_watts,V,P_pv_normalized_by_max,,,,
2017-09-08 00:00:00-10:00,1449.6,476.5902083,0,242.3933333,0,0.243158919,0.243158919,5961.533333,1959.994766
2017-09-08 00:15:00-10:00,1414.933333,465.1927235,0,242.7773333,0,0.23734386,0.23734386,,
2017-09-08 00:30:00-10:00,1415.666667,465.4338242,0,243.2866667,0,0.237466871,0.237466871,,
2017-09-08 00:45:00-10:00,1418.933333,466.5078179,0,243.5126667,0,0.238014828,0.238014828,,
2017-09-08 01:00:00-10:00,1229.733333,404.3038531,0,243.5033333,0,0.206278027,0.206278027,,
2017-09-08 01:15:00-10:00,1323.266667,435.0551437,0,243.5633333,0,0.221967503,0.221967503,,
2017-09-08 01:30:00-10:00,1296.4,426.222093,0,242.1426667,0,0.217460832,0.217460832,,
2017-09-08 01:45:00-10:00,1140.533333,374.9772481,0,241.6586667,0,0.191315433,0.191315433,,
2017-09-08 02:00:00-10:00,1350.466667,443.9977856,0,241.8926667,0,0.226530087,0.226530087,,
2017-09-08 02:15:00-10:00,1412.266667,464.3159939,0,241.822,0,0.236896548,0.236896548,,
2017-09-08 02:30:00-10:00,1199.928571,394.5048343,0,242.1742857,0,0.201278514,0.201278514,,
2017-09-08 02:45:00-10:00,1223.266667,402.1777838,0,242.6366667,0,0.205193295,0.205193295,,
2017-09-08 03:00:00-10:00,1223,402.0901109,0,242.8053333,0,0.205148564,0.205148564,,
2017-09-08 03:15:00-10:00,1303.466667,428.5454264,0,242.704,0,0.21864621,0.21864621,,
2017-09-08 03:30:00-10:00,1136.6,373.684072,0,243.0693333,0,0.190655648,0.190655648,,
2017-09-08 03:45:00-10:00,1318.066667,433.345521,0,242.3633333,0,0.221095244,0.221095244,,
2017-09-08 04:00:00-10:00,1282,421.4877532,0,242.4613333,0,0.215045346,0.215045346,,
2017-09-08 04:15:00-10:00,1265.5,416.0629888,0,241.8921429,0,0.212277602,0.212277602,,
2017-09-08 04:30:00-10:00,1147.5,377.2677042,0,242.6057143,0,0.192484037,0.192484037,,
2017-09-08 04:45:00-10:00,1237.933333,406.9997966,0,242.5093333,0,0.207653512,0.207653512,,
2017-09-08 05:00:00-10:00,1231.866667,405.0052368,0,241.6606667,0,0.206635877,0.206635877,,
2017-09-08 05:15:00-10:00,1157.333333,380.5006446,0,241.064,0,0.1941335,0.1941335,,
