,phases,bus1,kv,irradiance,Pmpp,%Pmpp,Temperature,pf,conn,kvar,kVA,%Cutin,%Cutout,EffCurve,P-TCurve,%R,%X,model,Vminpu,Vmaxpu,Balanced,LimitCurrent,yearly,daily,duty,Tyearly,Tdaily,Tduty,class,UserModel,UserData,debugtrace,VarFollowInverter,DutyStart,WattPriority,PFPriority,%PminNoVars,%PminkvarMax,kvarMax,kvarMaxAbs,kVDC,Kp,PITol,SafeVoltage,SafeMode,DynamicEq,DynOut,ControlMode,AmpLimit,AmpLimitGain,spectrum,basefreq,enabled,like
PVSystem.pvgnem_mpx000635970,1,110-pv.1,0.24,1,20,100,25,0.974253044246276,wye,0,9.8337073686548,20,20,,,50,0,1,0.9,1.1,No,No,pv_mpx000635970,,,,,,1,,,No,No,0,No,No,-1,-1,9.8337073686548,9.8337073686548,8,0.01,0,80,No,,[],GFL,-1,0.8,,60,Yes,
PVSystem.pvgnem_mpx000460267,1,111-pv.1,0.24,1,8.5,100,25,0.953993609361775,wye,0,10.0150011434643,20,20,,,50,0,1,0.9,1.1,No,No,pv_mpx000460267,,,,,,1,,,No,No,0,No,No,-1,-1,10.0150011434643,10.0150011434643,8,0.01,0,80,No,,[],GFL,-1,0.8,,60,Yes,
PVSystem.pvgnem_mpx000594341,1,113-pv.1,0.24,1,4.6,100,25,0.961147005443298,wye,0,9.95090401399092,20,20,,,50,0,1,0.9,1.1,No,No,pv_mpx000594341,,,,,,1,,,No,No,0,No,No,-1,-1,9.95090401399092,9.95090401399092,8,0.01,0,80,No,,[],GFL,-1,0.8,,60,Yes,
PVSystem.pvgui_mpx000637601,1,112-pv.1,0.24,1.01069592198581,5.5,100,25,0.953522601120221,wye,0,10.044955049881,20,20,,,50,0,1,0.9,1.1,No,No,pv_mpx000637601,,,,,,1,,,No,No,0,No,No,-1,-1,10.044955049881,10.044955049881,8,0.01,0,80,No,,[],GFL,-1,0.8,,60,Yes,
PVSystem.pvgui_mpx000460267,1,111-pv.1,0.24,0.925303188892118,3.9,100,25,0.973874838129,wye,0,9.88235756969248,20,20,,,50,0,1,0.9,1.1,No,No,pv_mpx000460267,,,,,,1,,,No,No,0,No,No,-1,-1,9.88235756969248,9.88235756969248,8,0.01,0,80,No,,[],GFL,-1,0.8,,60,Yes,
