,phases,bus1,kV,kW,pf,model,yearly,daily,duty,growth,conn,kvar,Rneut,Xneut,status,class,Vminpu,Vmaxpu,Vminnorm,Vminemerg,xfkVA,allocationfactor,kVA,%mean,%stddev,CVRwatts,CVRvars,kwh,kwhdays,Cfactor,CVRcurve,NumCust,ZIPV,%SeriesRL,RelWeight,Vlowpu,puXharm,XRharm,spectrum,basefreq,enabled,like
Load.mpx000635970,1,110_2.1,0.24,0.0607381553467447,0.987278887205994,1,lp_mpx000635970,,,,wye,0.00978168581326534,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,0.0615207679753327,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.mpx000460267,1,111_2.1,0.24,0.726782389188487,0.985668177157945,1,lp_mpx000460267,,,,wye,0.124387779006508,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,0.737349958161454,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.mpx000637601,1,112_2.1,0.24,0.0395404608084134,0.891350249023867,1,lp_mpx000637601,,,,wye,0.0201091486397074,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,0.044360183723194,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.mpx000594341,1,113_2.1,0.24,0.41471063463927,0.988083581678164,1,lp_mpx000594341,,,,wye,0.064601362691906,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,0.419712099592753,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
