,bus1,bus2,phases,kvar,kv,conn,cmatrix,cuf,R,XL,Harm,Numsteps,states,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Capacitor.c1,b1,b1.0.0.0,3,['600'],12.47,wye,"('0 |2.49009085503988E-315 2.22396058465097E-308 |5.2150182983179E-304 0 2.56377452879502E-308',)",['10.235'],['0'],['0'],['0'],1,['1'],37.5023029706172,50.0030706274896,0.0005,100,3,60,Yes,
Capacitor.c2,b3,b3.0.0.0,3,['600'],12.47,wye,"('0 |2.49009085503988E-315 2.22396058465097E-308 |5.21501829831079E-304 0 2.56377452879502E-308',)",['10.235'],['0'],['0'],['0'],1,['1'],37.5023029706172,50.0030706274896,0.0005,100,3,60,Yes,
Capacitor.cg,bg,bg.0.0.0,3,['600'],0.48,wye,"('0 |2.33198984837068E-315 2.22397401533149E-308 |5.21501758047056E-304 0 2.56377452879502E-308',)",['6907.77'],['0'],['0'],['0'],1,['1'],974.278579257494,1299.03810567666,0.0005,100,3,60,Yes,
