,phases,windings,wdg,bus,conn,kV,kVA,tap,%R,Rneut,Xneut,buses,conns,kVs,kVAs,taps,XHL,XHT,XLT,Xscarray,thermal,n,m,flrise,hsrise,%loadloss,%noloadloss,normhkVA,emerghkVA,sub,MaxTap,MinTap,NumTaps,subname,%imag,ppm_antifloat,%Rs,bank,XfmrCode,XRConst,X12,X13,X23,LeadLag,WdgCurrents,Core,RdcOhms,Seasons,Ratings,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Transformer.sub,3,2,2,b0,wye,12.47,20000,1,0.2,-1,0,"['bx', 'b0']","['delta', 'wye']","['115', '12.47']","['20000', '20000']","['1', '1']",7,35,30,['7'],2,0.8,0.8,65,15,0.4,0,22000,30000,No,1.1,0.9,32,,0,1,"['0.2', '0.2']",,,No,7,35,30,Lag,"5.770615, (58.889), 92.17593, (-121.11), 5.759515, (-61.013), 91.99863, (118.99), 5.773929, (179.12), 92.22886, (-0.87878), ",shell,0.00440585883333333,1,['1100'],110.449616714537,150.613113701641,0.007,0,0,60,Yes,
Transformer.tg,3,2,2,bg,wye,0.48,1500,1,0.2,-1,0,"['b4', 'bg']","['wye', 'wye']","['12.47', '0.48']","['1500', '1500']","['1', '1']",5,35,30,['5'],2,0.8,0.8,65,15,0.4,0,1650,2250,No,1.1,0.9,32,,0,1,"['0.2', '0.2']",,,No,5,35,30,Lag,"31.27724, (58.454), 812.5588, (-121.55), 31.1601, (-61.367), 809.5156, (118.63), 31.29942, (178.87), 813.1349, (-1.1326), ",shell,0.00008704,1,['1100'],76.3935801253314,104.17306380727,0.007,0,0,60,Yes,
Transformer.reg1a,1,2,2,bm.1,wye,12.47,2000,1,0.2,-1,0,"['b2.1', 'bm.1']","['wye', 'wye']","['12.47', '12.47']","['2000', '2000']","['1', '1']",1,35,30,['1'],2,0.8,0.8,65,15,0.4,0,2200,3000,No,1.1,0.9,32,,0,1,"['0.2', '0.2']",,,No,1,35,30,Lag,"62.07116, (58.59), 62.07126, (-121.41), ",shell,0.132175765,1,['1100'],176.423416198877,240.577385725742,0.007,0,0,60,Yes,
Transformer.reg1b,1,2,2,bm.2,wye,12.47,2000,1,0.2,-1,0,"['b2.2', 'bm.2']","['wye', 'wye']","['12.47', '12.47']","['2000', '2000']","['1', '1']",1,35,30,['1'],2,0.8,0.8,65,15,0.4,0,2200,3000,No,1.1,0.9,32,,0,1,"['0.2', '0.2']",,,No,1,35,30,Lag,"61.88901, (-61.267), 61.88911, (118.73), ",shell,0.132175765,1,['1100'],176.423416198877,240.577385725742,0.007,0,0,60,Yes,
Transformer.reg1c,1,2,2,bm.3,wye,12.47,2000,1,0.2,-1,0,"['b2.3', 'bm.3']","['wye', 'wye']","['12.47', '12.47']","['2000', '2000']","['1', '1']",1,35,30,['1'],2,0.8,0.8,65,15,0.4,0,2200,3000,No,1.1,0.9,32,,0,1,"['0.2', '0.2']",,,No,1,35,30,Lag,"62.11333, (178.93), 62.11343, (-1.0743), ",shell,0.132175765,1,['1100'],176.423416198877,240.577385725742,0.007,0,0,60,Yes,
