,bus1,bus2,linecode,length,phases,r1,x1,r0,x0,C1,C0,rmatrix,xmatrix,cmatrix,Switch,Rg,Xg,rho,geometry,units,spacing,wires,EarthModel,cncables,tscables,B1,B0,Seasons,Ratings,LineType,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Line.l1,b0,b1,unbalanced 336 acsr,10,3,----,----,----,----,----,----,['0.0868455 |0.0298305 0.0887966 |0.0288883 0.0298305 0.0868455'],['0.2025449 |0.084721 0.1961452 |0.0719161 0.084721 0.2025449'],['2.74 |-0.7 2.96 |-0.34 -0.71 2.74'],No,0.01805,0.155081,100,,kft,,[],Deri,[],[],----,----,1,['400'],oh,570.4,713,0.1,20,3,60,Yes,
Line.l2,b1,b2,unbalanced 336 acsr,10,3,----,----,----,----,----,----,['0.0868455 |0.0298305 0.0887966 |0.0288883 0.0298305 0.0868455'],['0.2025449 |0.084721 0.1961452 |0.0719161 0.084721 0.2025449'],['2.74 |-0.7 2.96 |-0.34 -0.71 2.74'],No,0.01805,0.155081,100,,kft,,[],Deri,[],[],----,----,1,['400'],oh,570.4,713,0.1,20,3,60,Yes,
Line.l3,bm,b3,unbalanced 336 acsr,10,3,----,----,----,----,----,----,['0.0868455 |0.0298305 0.0887966 |0.0288883 0.0298305 0.0868455'],['0.2025449 |0.084721 0.1961452 |0.0719161 0.084721 0.2025449'],['2.74 |-0.7 2.96 |-0.34 -0.71 2.74'],No,0.01805,0.155081,100,,kft,,[],Deri,[],[],----,----,1,['400'],oh,570.4,713,0.1,20,3,60,Yes,
Line.l4,b3,b4,unbalanced 336 acsr,10,3,----,----,----,----,----,----,['0.0868455 |0.0298305 0.0887966 |0.0288883 0.0298305 0.0868455'],['0.2025449 |0.084721 0.1961452 |0.0719161 0.084721 0.2025449'],['2.74 |-0.7 2.96 |-0.34 -0.71 2.74'],No,0.01805,0.155081,100,,kft,,[],Deri,[],[],----,----,1,['400'],oh,570.4,713,0.1,20,3,60,Yes,
Line.l5,b2,b5,unbalanced 336 acsr,10,3,----,----,----,----,----,----,['0.0868455 |0.0298305 0.0887966 |0.0288883 0.0298305 0.0868455'],['0.2025449 |0.084721 0.1961452 |0.0719161 0.084721 0.2025449'],['2.74 |-0.7 2.96 |-0.34 -0.71 2.74'],No,0.01805,0.155081,100,,kft,,[],Deri,[],[],----,----,1,['400'],oh,570.4,713,0.1,20,3,60,Yes,
Line.l6,b3,b6,unbalanced 336 acsr,10,3,----,----,----,----,----,----,['0.0868455 |0.0298305 0.0887966 |0.0288883 0.0298305 0.0868455'],['0.2025449 |0.084721 0.1961452 |0.0719161 0.084721 0.2025449'],['2.74 |-0.7 2.96 |-0.34 -0.71 2.74'],No,0.01805,0.155081,100,,kft,,[],Deri,[],[],----,----,1,['400'],oh,570.4,713,0.1,20,3,60,Yes,
Line.l7,b0,b7,unbalanced 336 acsr,10,3,----,----,----,----,----,----,['0.0868455 |0.0298305 0.0887966 |0.0288883 0.0298305 0.0868455'],['0.2025449 |0.084721 0.1961452 |0.0719161 0.084721 0.2025449'],['2.74 |-0.7 2.96 |-0.34 -0.71 2.74'],No,0.01805,0.155081,100,,kft,,[],Deri,[],[],----,----,1,['400'],oh,570.4,713,0.1,20,3,60,Yes,
Line.motorleads,bg,bg2,,0.01,3,0.058,0.1206,0.1784,0.4047,3.4,1.6,['0.0981333333333333 |0.0401333333333333 0.0981333333333333 |0.0401333333333333 0.0401333333333333 0.0981333333333333'],['0.2153 |0.0947 0.2153 |0.0947 0.0947 0.2153'],['2.8 |-0.6 2.8 |-0.6 -0.6 2.8'],No,0.01805,0.155081,100,,none,,[],Deri,[],[],1.28176980266464,0.60318578948924,1,['400'],oh,400,600,0.1,20,3,60,Yes,
