,element,terminal,mode,action,residual,VIPolar,PPolar,basefreq,enabled,like
Monitor.cb1,Line.l1,1,0,,No,Yes,Yes,60,Yes,
Monitor.cb2,Line.l7,1,0,,No,Yes,Yes,60,Yes,
Monitor.rec1,Line.l3,1,0,,No,Yes,Yes,60,Yes,
Monitor.rec2,Line.l5,1,0,,No,Yes,Yes,60,Yes,
Monitor.f1,Line.l6,1,0,,No,Yes,Yes,60,Yes,
Monitor.f2,Transformer.tg,1,0,,No,Yes,Yes,60,Yes,
Monitor.mfr2,IndMach012.motor1,1,3,,No,Yes,Yes,60,Yes,
