timestamp,frequency,Simulation mode,Circuit.epriJ1 ph:1 [kW],Circuit.epriJ1 ph:1 [kvar]
1/1/2017 0:15,60,Yearly,-5.979306015,-0.758373919
1/1/2017 0:30,60,Yearly,-4.222427378,-0.493243983
1/1/2017 0:45,60,Yearly,-5.032113971,-0.623377835
1/1/2017 1:00,60,Yearly,-5.123221764,-0.638967114
1/1/2017 1:15,60,Yearly,-5.012706395,-0.621461249
1/1/2017 1:30,60,Yearly,-5.003457528,-0.624658132
1/1/2017 1:45,60,Yearly,-5.30366444,-0.633309333
1/1/2017 2:00,60,Yearly,-5.479844767,-0.618884725
1/1/2017 2:15,60,Yearly,-5.218094992,-0.628835596
1/1/2017 2:30,60,Yearly,-5.068465011,-0.60757949
