hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0
8, 0.00000, 0, 0, 0, 0
9, 0.00000, 0, 0, 0, 0
10, 0.00000, 0, 0, 0, 0
11, 0.00000, 0, 0, 0, 0
12, 0.00000, 0, 0, 0, 0
13, 0.00000, 0, 0, 0, 0
14, 0.00000, 0, 0, 0, 0
15, 0.00000, 0, 0, 0, 0
16, 0.00000, 0, 0, 0, 0
17, 0.00000, 0, 0, 0, 0
18, 0.00000, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0
25, 0.00000, 0, 0, 0, 0
26, 0.00000, 0, 0, 0, 0
27, 0.00000, 0, 0, 0, 0
28, 0.00000, 0, 0, 0, 0
29, 0.00000, 0, 0, 0, 0
30, 0.00000, 0, 0, 0, 0
31, 0.00000, 0, 0, 0, 0
32, 0.00000, -14.2175, 5.51076E-010, 0, 0
33, 0.00000, -36.0887, -1.87805E-009, 0, 0
34, 0.00000, -58.9512, 2.4718E-010, 0, 0
35, 0.00000, -38.1988, 3.26519E-008, 0, 0
36, 0.00000, -64.2533, -1.39355E-009, 0, 0
37, 0.00000, -78.9428, -3.73007E-010, 0, 0
38, 0.00000, -89.8797, -6.33305E-010, 0, 0
39, 0.00000, -80.704, -3.18332E-007, 0, 0
40, 0.00000, -75.581, -8.70016E-008, 0, 0
41, 0.00000, -96.9522, 6.39315E-008, 0, 0
42, 0.00000, -96.8103, 1.18328E-010, 0, 0
43, 0.00000, -99.6556, -1.65049E-010, 0, 0
44, 0.00000, -125.082, -2.41816E-010, 0, 0
45, 0.00000, -120.136, -1.94135E-006, 0, 0
46, 0.00000, -123.63, 3.44769E-006, 0, 0
47, 0.00000, -123.242, 1.07003E-007, 0, 0
48, 0.00000, -121.969, -6.50665E-007, 0, 0
49, 0.00000, -100.258, 3.1361E-008, 0, 0
50, 0.00000, -119.052, -6.17863E-008, 0, 0
51, 0.00000, -125.529, 4.06799E-006, 0, 0
52, 0.00000, -127.611, 1.05627E-006, 0, 0
53, 0.00000, -139.262, -5.14771E-011, 0, 0
54, 0.00000, -129.735, -9.14751E-006, 0, 0
55, 0.00000, -125.666, -4.60679E-006, 0, 0
56, 0.00000, -108.82, 4.09712E-010, 0, 0
57, 0.00000, -67.0404, 1.05791E-009, 0, 0
58, 0.00000, -37.4753, 1.28572E-009, 0, 0
59, 0.00000, -122.983, -6.26749E-010, 0, 0
60, 0.00000, -93.516, -2.39832E-008, 0, 0
61, 0.00000, -102.938, 2.47685E-006, 0, 0
62, 0.00000, -97.3408, -2.1593E-008, 0, 0
63, 0.00000, -92.0712, 1.56341E-009, 0, 0
64, 0.00000, -84.1681, 5.3456E-010, 0, 0
65, 0.00000, -79.657, 2.60959E-009, 0, 0
