hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 2436.54, -120.63, 2442.19, 118.566, 0.000336898, -21.9848, 0.000337506, -160.043
2, 0.00000, 2440.82, -120.605, 2446.28, 118.623, 0.000337462, -21.9575, 0.000338049, -159.991
3, 0.00000, 2444.56, -120.584, 2449.84, 118.672, 0.000337953, -21.9337, 0.000338521, -159.945
4, 0.00000, 2447.34, -120.568, 2452.49, 118.708, 0.000338319, -21.916, 0.000338873, -159.912
5, 0.00000, 2448.84, -120.56, 2453.92, 118.728, 0.000338517, -21.9064, 0.000339063, -159.893
6, 0.00000, 2449.52, -120.556, 2454.56, 118.737, 0.000338606, -21.9021, 0.000339149, -159.885
7, 0.00000, 2453.63, -120.532, 2458.48, 118.791, 0.000339147, -21.8759, 0.000339669, -159.835
8, 0.00000, 2454.27, -120.529, 2459.09, 118.799, 0.000339231, -21.8719, 0.000339749, -159.827
9, 0.00000, 2454.31, -120.528, 2459.12, 118.8, 0.000339236, -21.8716, 0.000339754, -159.827
10, 0.00000, 2454.99, -120.525, 2459.77, 118.809, 0.000339325, -21.8673, 0.00033984, -159.819
11, 0.00000, 2456.31, -120.517, 2461.03, 118.826, 0.0003395, -21.8588, 0.000340007, -159.802
12, 0.00000, 2457.63, -120.509, 2462.29, 118.843, 0.000339673, -21.8504, 0.000340174, -159.786
13, 0.00000, 2458.27, -120.506, 2462.9, 118.852, 0.000339757, -21.8464, 0.000340255, -159.779
14, 0.00000, 2456.8, -120.514, 2461.49, 118.832, 0.000339563, -21.8558, 0.000340068, -159.797
15, 0.00000, 2458.37, -120.505, 2462.99, 118.853, 0.00033977, -21.8457, 0.000340267, -159.777
16, 0.00000, 2458.13, -120.507, 2462.76, 118.85, 0.000339739, -21.8473, 0.000340237, -159.78
17, 0.00000, 2456.97, -120.513, 2461.66, 118.835, 0.000339586, -21.8547, 0.00034009, -159.794
18, 0.00000, 2456.7, -120.515, 2461.4, 118.831, 0.000339551, -21.8564, 0.000340056, -159.798
19, 0.00000, 2456.66, -120.515, 2461.36, 118.831, 0.000339545, -21.8567, 0.000340051, -159.798
20, 0.00000, 2454.04, -120.53, 2458.86, 118.796, 0.0003392, -21.8734, 0.000339719, -159.83
21, 0.00000, 2451.4, -120.545, 2456.35, 118.762, 0.000338853, -21.8902, 0.000339385, -159.862
22, 0.00000, 2451.22, -120.546, 2456.18, 118.759, 0.00033883, -21.8913, 0.000339364, -159.864
23, 0.00000, 2447.8, -120.566, 2452.92, 118.714, 0.00033838, -21.9131, 0.000338931, -159.906
24, 0.00000, 2445.51, -120.579, 2450.74, 118.684, 0.000338078, -21.9277, 0.00033864, -159.934
25, 0.00000, 2440.78, -120.606, 2446.24, 118.622, 0.000337456, -21.9578, 0.000338043, -159.991
26, 0.00000, 2437.81, -120.623, 2443.4, 118.583, 0.000337066, -21.9768, 0.000337667, -160.027
27, 0.00000, 2432.63, -120.652, 2438.47, 118.515, 0.000336384, -22.0097, 0.000337011, -160.091
28, 0.00000, 2439.03, -120.616, 2444.57, 118.599, 0.000337226, -21.9689, 0.000337822, -160.013
29, 0.00000, 2438.51, -120.619, 2444.07, 118.592, 0.000337158, -21.9723, 0.000337756, -160.019
30, 0.00000, 2438.41, -120.619, 2443.98, 118.591, 0.000337144, -21.9729, 0.000337743, -160.02
31, 0.00000, 2438.71, -120.617, 2444.27, 118.595, 0.000337184, -21.971, 0.000337782, -160.016
32, 0.00000, 2444.06, -120.548, 2451.3, 118.696, 0.000337924, -21.8924, 0.000338703, -159.913
33, 0.00000, 2452.62, -120.44, 2462.32, 118.855, 0.000339104, -21.7711, 0.000340148, -159.753
34, 0.00000, 2461.77, -120.327, 2473.91, 119.024, 0.00034036, -21.6449, 0.000341667, -159.582
35, 0.00000, 2455.99, -120.415, 2465.79, 118.903, 0.000339553, -21.7434, 0.000340607, -159.706
36, 0.00000, 2466.82, -120.285, 2479.32, 119.101, 0.000341035, -21.5978, 0.00034238, -159.508
37, 0.00000, 2474.17, -120.206, 2488.07, 119.229, 0.000342034, -21.5086, 0.000343529, -159.381
38, 0.00000, 2479.59, -120.147, 2494.52, 119.323, 0.00034277, -21.4426, 0.000344376, -159.288
39, 0.00000, 2477.91, -120.18, 2491.79, 119.281, 0.000342528, -21.4802, 0.000344021, -159.332
40, 0.00000, 2477.4, -120.196, 2490.67, 119.264, 0.000342449, -21.4984, 0.000343878, -159.351
41, 0.00000, 2485.78, -120.093, 2501.21, 119.418, 0.000343597, -21.3833, 0.000345258, -159.196
42, 0.00000, 2487.12, -120.086, 2502.45, 119.436, 0.000343773, -21.3753, 0.000345424, -159.18
43, 0.00000, 2489.11, -120.068, 2504.68, 119.467, 0.000344041, -21.3545, 0.000345717, -159.149
44, 0.00000, 2498.68, -119.948, 2516.81, 119.646, 0.000345353, -21.2206, 0.000347305, -158.969
45, 0.00000, 2498.74, -119.96, 2516.26, 119.636, 0.00034535, -21.2345, 0.000347236, -158.981
46, 0.00000, 2501.93, -119.933, 2519.69, 119.684, 0.000345777, -21.2043, 0.000347689, -158.935
47, 0.00000, 2502.36, -119.932, 2520.05, 119.689, 0.000345833, -21.2027, 0.000347737, -158.93
48, 0.00000, 2502.16, -119.936, 2519.69, 119.684, 0.000345803, -21.2077, 0.000347691, -158.936
49, 0.00000, 2494.76, -120.034, 2510.06, 119.542, 0.000344783, -21.3174, 0.00034643, -159.08
50, 0.00000, 2501.11, -119.949, 2518.33, 119.664, 0.000345659, -21.2228, 0.000347513, -158.956
51, 0.00000, 2503.11, -119.921, 2521.04, 119.703, 0.000345936, -21.1913, 0.000347867, -158.916
52, 0.00000, 2503.33, -119.915, 2521.5, 119.711, 0.00034597, -21.1838, 0.000347926, -158.908
