Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 12.47, 1,     7552.8,   -0.2,    1.0491, 2,    7570.62, -120.0,    1.0515, 3,    7551.68,  120.0,    1.0489
"DEV_258083", 12.47, 1,    7472.16,   -1.0,    1.0379, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258183", 12.47, 1,    7472.16,   -1.0,    1.0379, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258175", 12.47, 1,    7470.82,   -1.0,    1.0377, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258084", 12.47, 1,    7470.82,   -1.0,    1.0377, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258082", 12.47, 1,    7471.44,   -1.0,    1.0378, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258185", 12.47, 1,    7471.44,   -1.0,    1.0378, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258074", 12.47, 1,    7465.62,   -1.0,     1.037, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258195", 12.47, 1,    7465.62,   -1.0,     1.037, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258078", 12.47, 1,    7465.54,   -1.0,    1.0369, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258191", 12.47, 1,    7465.54,   -1.0,    1.0369, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258081", 12.47, 1,    7465.66,   -1.0,     1.037, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258181", 12.47, 1,    7465.66,   -1.0,     1.037, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258173", 12.47, 1,    7471.69,   -1.0,    1.0378, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258152", 12.47, 1,    7471.69,   -1.0,    1.0378, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258210", 12.47, 1,    7467.09,   -1.0,    1.0372, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258211", 12.47, 1,    7467.09,   -1.0,    1.0372, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258793", 12.47, 1,    7472.94,   -1.0,     1.038, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258894", 12.47, 1,    7472.94,   -1.0,     1.038, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258813", 12.47, 1,    7476.47,   -1.0,    1.0385, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258887", 12.47, 1,    7476.47,   -1.0,    1.0385, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258881", 12.47, 1,    7472.67,   -1.0,    1.0379, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258818", 12.47, 1,    7472.67,   -1.0,    1.0379, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258825", 12.47, 1,    7474.82,   -1.0,    1.0382, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258823", 12.47, 1,    7474.82,   -1.0,    1.0382, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258839", 12.47, 1,    7472.51,   -1.0,    1.0379, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258897", 12.47, 1,    7472.51,   -1.0,    1.0379, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258807", 12.47, 1,    7475.63,   -1.0,    1.0383, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_258885", 12.47, 1,    7475.63,   -1.0,    1.0383, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259020", 12.47, 1,    7490.71,   -0.9,    1.0404, 2,       7601, -120.0,    1.0558, 3,    7529.63,  120.2,    1.0458
"DEV_259186", 12.47, 1,    7490.71,   -0.9,    1.0404, 2,       7601, -120.0,    1.0558, 3,    7529.63,  120.2,    1.0458
"NODE_613672", 12.47, 1,    7475.26,   -1.0,    1.0383, 2,    7606.66, -120.1,    1.0565, 3,     7528.9,  120.3,    1.0457
"DEV_258057", 12.47, 1,    7475.26,   -1.0,    1.0383, 2,    7606.66, -120.1,    1.0565, 3,     7528.9,  120.3,    1.0457
"DEV_259046", 12.47, 1,    7468.08,   -1.0,    1.0373, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259145", 12.47, 1,    7468.08,   -1.0,    1.0373, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259149", 12.47, 1,    7467.35,   -1.0,    1.0372, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259034", 12.47, 1,    7467.35,   -1.0,    1.0372, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259151", 12.47, 1,    7466.77,   -1.0,    1.0371, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259038", 12.47, 1,    7466.77,   -1.0,    1.0371, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259042", 12.47, 1,    7465.87,   -1.0,     1.037, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259153", 12.47, 1,    7465.87,   -1.0,     1.037, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259143", 12.47, 1,    7466.01,   -1.0,     1.037, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259045", 12.47, 1,    7466.01,   -1.0,     1.037, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259162", 12.47, 1,    7473.87,   -1.0,    1.0381, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259161", 12.47, 1,    7473.87,   -1.0,    1.0381, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259167", 12.47, 1,    7474.79,   -1.0,    1.0382, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259168", 12.47, 1,    7474.79,   -1.0,    1.0382, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259173", 12.47, 1,    7475.25,   -1.0,    1.0383, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259172", 12.47, 1,    7475.25,   -1.0,    1.0383, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259177", 12.47, 1,    7475.56,   -1.0,    1.0383, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259178", 12.47, 1,    7475.56,   -1.0,    1.0383, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_259050", 12.47, 1,    7475.72,   -1.0,    1.0384, 2,    7607.08, -120.0,    1.0566, 3,    7528.08,  120.3,    1.0456
"NODE_30049816", 12.47, 1,    7475.72,   -1.0,    1.0384, 2,    7607.08, -120.0,    1.0566, 3,    7528.08,  120.3,    1.0456
"DEV_262522", 12.47, 3,    7555.96,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_262470", 12.47, 3,    7555.96,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263529", 12.47, 1,    7557.84,   -0.2,    1.0498, 2,    7574.86, -120.0,    1.0521, 3,    7555.96,  120.0,    1.0495
"DEV_263528", 12.47, 1,    7557.84,   -0.2,    1.0498, 2,    7574.86, -120.0,    1.0521, 3,    7555.96,  120.0,    1.0495
"DEV_263917", 12.47, 3,    7555.96,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263554", 12.47, 3,    7555.96,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263909", 12.47, 3,    7555.96,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263557", 12.47, 3,    7555.96,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263626", 12.47, 1,    7557.86,   -0.2,    1.0498, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263913", 12.47, 1,    7557.86,   -0.2,    1.0498, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263630", 12.47, 1,    7557.86,   -0.2,    1.0498, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263905", 12.47, 1,    7557.86,   -0.2,    1.0498, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263668", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263881", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263672", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263883", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263678", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263885", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263685", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263879", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263553", 12.47, 3,    7555.96,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263915", 12.47, 3,    7555.96,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263555", 12.47, 3,    7555.96,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263919", 12.47, 3,    7555.96,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263920", 12.47, 3,    7555.96,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263556", 12.47, 3,    7555.96,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263634", 12.47, 1,    7557.86,   -0.2,    1.0498, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263717", 12.47, 1,    7557.86,   -0.2,    1.0498, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263638", 12.47, 1,    7557.86,   -0.2,    1.0498, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263903", 12.47, 1,    7557.86,   -0.2,    1.0498, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263640", 12.47, 1,    7557.86,   -0.2,    1.0498, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263907", 12.47, 1,    7557.86,   -0.2,    1.0498, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263655", 12.47, 2,    7574.88, -120.0,    1.0521, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263720", 12.47, 2,    7574.88, -120.0,    1.0521, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263892", 12.47, 2,    7574.88, -120.0,    1.0521, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263652", 12.47, 2,    7574.88, -120.0,    1.0521, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263657", 12.47, 2,    7574.88, -120.0,    1.0521, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263901", 12.47, 2,    7574.88, -120.0,    1.0521, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263897", 12.47, 1,    7557.86,   -0.2,    1.0498, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263644", 12.47, 1,    7557.86,   -0.2,    1.0498, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263663", 12.47, 2,    7574.88, -120.0,    1.0521, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263899", 12.47, 2,    7574.88, -120.0,    1.0521, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263689", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263690", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263694", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263871", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263877", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263680", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263696", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263873", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263698", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263875", 12.47, 3,    7555.97,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263701", 12.47, 3,    7555.98,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263865", 12.47, 3,    7555.98,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263707", 12.47, 3,    7555.98,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263867", 12.47, 3,    7555.98,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263716", 12.47, 3,    7555.98,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263863", 12.47, 3,    7555.98,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263710", 12.47, 3,    7555.98,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263869", 12.47, 3,    7555.98,  120.0,    1.0495, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263911", 12.47, 1,    7557.86,   -0.2,    1.0498, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263621", 12.47, 1,    7557.86,   -0.2,    1.0498, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263895", 12.47, 2,    7574.88, -120.0,    1.0521, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_263622", 12.47, 2,    7574.88, -120.0,    1.0521, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_5011599", 12.47, 1,    7557.86,   -0.2,    1.0498, 2,    7574.88, -120.0,    1.0521, 3,    7555.97,  120.0,    1.0495
"DEV_263842", 12.47, 1,    7557.86,   -0.2,    1.0498, 2,    7574.88, -120.0,    1.0521, 3,    7555.97,  120.0,    1.0495
"NODE_5011570", 12.47, 1,    7557.86,   -0.2,    1.0498, 2,    7574.89, -120.0,    1.0521, 3,    7555.98,  120.0,    1.0495
"DEV_263840", 12.47, 1,    7557.86,   -0.2,    1.0498, 2,    7574.89, -120.0,    1.0521, 3,    7555.98,  120.0,    1.0495
"DEV_263922", 12.47, 1,    7557.86,   -0.2,    1.0498, 2,    7574.88, -120.0,    1.0521, 3,    7555.97,  120.0,    1.0495
"DEV_263923", 12.47, 1,    7557.86,   -0.2,    1.0498, 2,    7574.88, -120.0,    1.0521, 3,    7555.97,  120.0,    1.0495
"DEV_263889", 12.47, 2,    7574.88, -120.0,    1.0521, 0, 0, 0, 0, 0, 0, 0, 0
