"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
Dëﬂ2Sü>, 4.63581979453515, 0.679959329586046, 4.63581979453515, 4.68542099040151, 0.0834660948553612, 0.0160948079054465, 0.0834660948553612
Dëﬂ2SØ>, 4.63635017027881, 0.683570324591088, 4.63635017027881, 4.68647109135498, 0.0834878476634367, 0.0161020204250537, 0.0834878476634367
Û¨'f˛L∑>, 4.63635713353332, 0.683578422219112, 4.63635713353332, 4.68647916126689, 0.0834880171413415, 0.0161020765644576, 0.0834880171413415
Dëﬂ2Sø>, 4.63635715636713, 0.683578422219112, 4.63635715636713, 4.6864791838565, 0.0834880176361298, 0.0161020767244423, 0.0834880176361298
À∫Àˇ”j√>, 4.63635715640051, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176351369, 0.0161020767257257, 0.0834880176361298
Û¨'f˛L«>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176348017, 0.0161020767250469, 0.0834880176361298
üÉÃ(/À>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
Eëﬂ2Sœ>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
∑¡ùÃæy—>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
Ã∫Àˇ”j”>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
‡≥˘2È[’>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
ı¨'f˛L◊>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
	¶Uô>Ÿ>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
üÉÃ(/€>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
2ò±ˇ= ›>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
Gëﬂ2Sﬂ>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
.≈34Å‡>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
∏¡ùÃæy·>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
Bæ4fIr‚>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
Ã∫Àˇ”j„>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
U∑bô^c‰>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
ﬂ≥˘2È[Â>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
i∞êÃsTÊ>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
Ú¨'f˛LÁ>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
|©æˇàEË>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
¶Uô>È>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
è¢Ï2û6Í>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
üÉÃ(/Î>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
£õf≥'Ï>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
,ò±ˇ= Ì>, 4.63635715640038, 0.683578422219112, 4.63635715640051, 4.68647918388952, 0.0834880176343607, 0.0161020767249374, 0.0834880176361298
