Hour=1, Sec=0, ControlIter=1, Element=Regulator.subxfrmr, Action= CHANGED -1 TAPS TO 0.99375.
Hour=1, Sec=0, ControlIter=2, Element=Regulator.subxfrmr, Action= CHANGED -1 TAPS TO 0.9875.
Hour=40, Sec=0, ControlIter=1, Element=Regulator.subxfrmr, Action= CHANGED -1 TAPS TO 0.98125.
Hour=125, Sec=0, ControlIter=1, Element=Regulator.subxfrmr, Action= CHANGED 1 TAPS TO 0.9875.
Hour=140, Sec=0, ControlIter=1, Element=Regulator.subxfrmr, Action= CHANGED -1 TAPS TO 0.98125.
Hour=147, Sec=0, ControlIter=1, Element=Regulator.subxfrmr, Action= CHANGED -1 TAPS TO 0.975.
Hour=149, Sec=0, ControlIter=1, Element=Regulator.subxfrmr, Action= CHANGED 1 TAPS TO 0.98125.
Hour=155, Sec=0, ControlIter=1, Element=Regulator.subxfrmr, Action= CHANGED 1 TAPS TO 0.9875.
Hour=164, Sec=0, ControlIter=1, Element=Regulator.subxfrmr, Action= CHANGED 1 TAPS TO 0.99375.
Hour=192, Sec=0, ControlIter=1, Element=Regulator.subxfrmr, Action= CHANGED -1 TAPS TO 0.9875.
