Timestamp,Circuit.ieee13nodeckt__TotalPower
2020-01-01 07:00:00,(-2225.9160400701235-707.6041022180668j)
2020-01-01 07:15:00,(-2219.6677197936133-718.6032563125317j)
2020-01-01 07:30:00,(-2219.6892750947345-718.6198665349451j)
2020-01-01 07:45:00,(-1922.2817113264803-513.6153594961434j)
2020-01-01 08:00:00,(-1922.3806714975738-513.6859771947638j)
2020-01-01 08:15:00,(-1922.381221938255-513.6863969570459j)
2020-01-01 08:30:00,(-1776.6573547261614-409.69016588709377j)
2020-01-01 08:45:00,(-1776.6098146413308-409.6587854589935j)
2020-01-01 09:00:00,(-1776.6095839444567-409.65861632979966j)
2020-01-01 09:15:00,(-1776.6095828925904-409.65861543167665j)
2020-01-01 09:30:00,(-1776.609582887224-409.6586154244654j)
2020-01-01 09:45:00,(-1672.7352603672161-336.2094473795642j)
2020-01-01 10:00:00,(-1672.704892530853-336.19124912161936j)
2020-01-01 10:15:00,(-1672.7047644704792-336.1911622866363j)
2020-01-01 10:30:00,(-1613.8356418148862-299.2014038063525j)
2020-01-01 10:45:00,(-1613.85903163403-299.2209267495993j)
2020-01-01 11:00:00,(-1613.8591171576343-299.2210088767774j)
2020-01-01 11:15:00,(-1613.8591174279745-299.22100919549587j)
2020-01-01 11:30:00,(-1613.8591174260443-299.22100919453857j)
2020-01-01 11:45:00,(-1604.2842923735225-292.50380993567603j)
2020-01-01 12:00:00,(-1604.2505117880632-292.4807256840128j)
2020-01-01 12:15:00,(-1604.2503811250474-292.4806293345102j)
2020-01-01 12:30:00,(-1646.1311964138597-321.8944071533275j)
2020-01-01 12:45:00,(-1646.140718068493-321.901340626496j)
2020-01-01 13:00:00,(-1646.1407573764534-321.90137196936547j)
2020-01-01 13:15:00,(-1646.1407575358473-321.9013721150191j)
2020-01-01 13:30:00,(-1646.1407575402577-321.9013721152514j)
2020-01-01 13:45:00,(-1726.9863447133166-378.9399670420128j)
2020-01-01 14:00:00,(-1727.0064017747145-378.95538288034453j)
2020-01-01 14:15:00,(-1727.0064924779244-378.9554584446355j)
2020-01-01 14:30:00,(-1793.3507662121226-426.0195733742231j)
2020-01-01 14:45:00,(-1793.368449248485-426.03370371623606j)
2020-01-01 15:00:00,(-1793.3685349065295-426.0337774011314j)
2020-01-01 15:15:00,(-1793.3685353284882-426.0337777945j)
2020-01-01 15:30:00,(-1793.3685353297133-426.03377779617335j)
2020-01-01 15:45:00,(-1891.5957547360072-496.14271823541304j)
2020-01-01 16:00:00,(-1891.6246904581685-496.167047298274j)
2020-01-01 16:15:00,(-1891.6248444455625-496.1671855153464j)
2020-01-01 16:30:00,(-2014.1544023619024-584.3427186690853j)
2020-01-01 16:45:00,(-2014.195108366553-584.3788750387079j)
2020-01-01 17:00:00,(-2014.1953495195355-584.3791018242915j)
2020-01-01 17:15:00,(-2014.1953509805296-584.3791032841436j)
2020-01-01 17:30:00,(-2014.1953509878433-584.3791032913454j)
2020-01-01 17:45:00,(-2086.638745659899-636.8914007240703j)
2020-01-01 18:00:00,(-2086.6645975152874-636.9150408218514j)
