Powers-0,Powers-1,Powers-2,Powers-3
2.874516,0.543789,-2.867002,-0.54161
2.507394,0.50963,-2.501661,-0.507982
2.507395,0.509631,-2.501662,-0.507984
2.446909,0.497011,-2.441453,-0.495446
2.454487,0.498903,-2.448996,-0.497328
2.378925,0.483513,-2.373771,-0.482039
2.34112,0.475594,-2.336132,-0.47417
2.295807,0.46633,-2.291012,-0.464963
2.197595,0.446627,-2.193207,-0.445382
2.167345,0.440269,-2.163078,-0.43906
2.197593,0.446764,-2.193204,-0.445519
2.144692,0.43553,-2.140515,-0.434348
2.27311,0.461917,-2.268411,-0.460578
2.144718,0.43588,-2.140541,-0.434698
2.076706,0.421604,-2.072792,-0.420501
2.122064,0.431489,-2.117975,-0.430334
2.069176,0.42016,-2.065291,-0.419066
2.14472,0.436269,-2.140542,-0.435087
2.212723,0.450054,-2.208272,-0.44879
2.152271,0.43703,-2.148064,-0.435839
2.122049,0.431051,-2.11796,-0.429895
2.295807,0.46652,-2.291012,-0.465153
2.205176,0.448167,-2.200757,-0.446913
2.190046,0.444974,-2.185687,-0.443738
2.37136,0.48189,-2.36624,-0.480427
2.181601,0.443403,-2.177276,-0.442177
2.151716,0.437091,-2.147511,-0.4359
2.229541,0.453069,-2.225022,-0.451784
2.289765,0.465675,-2.284995,-0.464316
0.950497,0.482591,-0.94951,-0.482362
-0.000442,0.499668,0.00066,-0.499668
-0.000561,0.505879,0.000785,-0.505878
-0.000408,0.519595,0.000644,-0.51959
-0.004459,0.523372,0.004699,-0.523366
-0.000939,0.544734,0.001201,-0.54472
-0.000307,0.552323,0.000576,-0.552308
-0.000017,0.57013,0.000304,-0.57011
-0.000003,0.59449,0.000315,-0.594462
-0.000002,0.598362,0.000317,-0.598333
-0.000015,0.610008,0.000344,-0.609975
-0.000347,0.630829,0.000702,-0.630788
-0.000514,0.641312,0.000882,-0.641266
-0.000462,0.65446,0.000842,-0.654411
-0.000129,0.674304,0.000531,-0.674249
-0.001075,0.667667,0.00147,-0.667614
-13.002341,0.720169,13.147405,-0.676908
-10.371021,0.704758,10.464487,-0.676908
-5.427423,0.671473,5.453837,-0.663648
-6.474448,0.676035,6.511704,-0.664973
-10.680183,0.685193,10.779061,-0.655727
-4.895804,0.67004,4.91742,-0.663648
-8.806777,0.683866,8.874689,-0.663648
-13.59716,0.712147,13.755326,-0.664973
-10.09146,0.687391,10.180017,-0.661008
-10.711071,0.682715,10.810495,-0.653086
-6.485001,0.66946,6.52236,-0.658367
-9.508051,0.695094,9.586938,-0.671599
-12.059215,0.722268,12.184594,-0.684887
-6.939083,0.706934,6.981809,-0.694238
-10.809083,0.739217,10.910529,-0.708984
-12.890498,0.735465,13.033253,-0.692894
-8.241298,0.708003,8.301043,-0.690225
-7.873702,0.715853,7.928386,-0.699585
-7.712128,0.705837,7.764617,-0.690225
-8.865648,0.720105,8.93457,-0.699585
-8.123666,0.718224,8.181792,-0.700929
-4.726136,0.696205,4.746371,-0.690226
-5.241304,0.710843,5.265749,-0.703608
-4.775847,0.709639,4.796258,-0.703608
-3.50817,0.706867,3.519302,-0.703608
-1.914124,0.710008,1.917773,-0.708984
-1.556313,0.693588,1.558858,-0.692894
-0.326448,0.688976,0.326953,-0.688891
1.635002,0.678444,-1.632253,-0.677689
2.506832,0.668166,-2.500983,-0.666485
3.330541,0.677193,-3.320463,-0.674249
3.416327,0.694664,-3.405713,-0.69156
3.437858,0.69905,-3.427107,-0.695904
3.619617,0.736071,-3.607675,-0.73257
3.672486,0.746825,-3.660345,-0.743265
3.536182,0.719061,-3.524942,-0.71577
3.574043,0.726773,-3.562557,-0.723408
3.619461,0.736024,-3.607675,-0.73257
3.574043,0.726773,-3.562556,-0.723408
3.483171,0.708264,-3.472272,-0.705075
3.407418,0.692836,-3.396997,-0.68979
3.415028,0.694411,-3.404559,-0.691351
